bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B31,0,1,400.0,0.0,8.152062754,4.896892806,-0.0
B31,0,2,400.0,0.0,8.152062754,5.710026755,-0.0
B31,0,3,400.0,0.0,8.152062754,5.724939065,-0.0
B31,0,4,400.0,0.0,8.152062754,5.677598399,-0.0
B31,0,5,400.0,0.0,8.152062754,5.767099156,-0.0
B31,0,6,400.0,0.0,8.152062754,5.643377927,-0.0
B31,0,7,400.0,0.0,13.233470810000002,8.716651758,-0.0
B31,0,8,400.0,0.0,13.32069886,8.3264652,-0.0
B31,0,9,400.0,0.0,18.10812498,9.989925219,-0.0
B31,0,10,400.0,0.0,18.516659,8.724664982,-0.0
B31,0,11,400.0,0.0,18.31545684,8.073092485,-0.0
B31,0,12,400.0,0.0,18.751632830000002,7.819181801,-0.0
B31,0,13,400.0,0.0,12.67437725,5.401283114,-0.0
B31,0,14,400.0,0.0,12.17677752,5.333028364999998,-0.0
B31,0,15,400.0,0.0,12.1258511,5.295676168,-0.0
B31,0,16,400.0,0.0,12.19507976,5.401173628999999,-0.0
B31,0,17,400.0,0.0,12.48968696,6.141078869,-0.0
B31,0,18,400.0,0.0,9.758411752,5.054856662,-0.0
B31,0,19,400.0,0.0,9.754932567,5.63643834,-0.0
B31,0,20,400.0,0.0,8.152062754,5.116841398,-0.0
B31,0,21,400.0,0.0,8.152062754,5.680262481,-0.0
B31,0,22,400.0,0.0,8.152062754,6.222091556,-0.0
B31,0,23,400.0,0.0,8.152062754,6.138887635,-0.0
B31,0,24,400.0,0.0,8.152062754,6.1656666,-0.0
B33,0,1,395.96815852586883,0.0,13.58677126,8.161488009,7.0
B33,0,2,396.2756170101766,0.0,13.58677126,9.516711259,7.0
B33,0,3,396.0021382071865,0.0,13.58677126,9.541565109,7.0
B33,0,4,396.2996489536264,0.0,13.58677126,9.462663998,7.0
B33,0,5,395.41388890309327,0.0,13.58677126,9.611831927,7.0
B33,0,6,393.37987964192547,0.0,13.58677126,9.405629878,7.0
B33,0,7,390.80528567481355,0.0,22.05578469,14.52775293,7.0
B33,0,8,391.7111029700458,8.0805,22.20116477,13.877442,7.0
B33,0,9,390.89851538325047,19.4045,30.18020829,16.64987537,7.0
B33,0,10,393.8474762135013,40.328,30.861098340000005,14.541108299999998,7.0
B33,0,11,396.53696834910016,63.8915,30.52576141,13.45515414,7.0
B33,0,12,396.89254809881555,75.4585,31.25272138,13.03196967,7.0
B33,0,13,398.5889425204664,65.406,21.12396209,9.002138524,7.0
B33,0,14,397.65270491115695,55.7835,20.2946292,8.888380609,7.0
B33,0,15,395.91052108057295,42.3815,20.20975183,8.826126946,7.0
B33,0,16,392.4413156078377,23.1535,20.325132940000003,9.001956048,7.0
B33,0,17,387.97323711541856,5.5925,20.81614493,10.23513145,7.0
B33,0,18,387.81533179249357,0.0,16.26401959,8.424761104,7.0
B33,0,19,388.3339136681804,0.0,16.25822094,9.3940639,7.0
B33,0,20,389.5261112753781,0.0,13.58677126,8.528068996,7.0
B33,0,21,390.04165334387295,0.0,13.58677126,9.467104135,7.0
B33,0,22,390.55822857289434,0.0,13.58677126,10.370152589999998,7.0
B33,0,23,393.69681757009454,0.0,13.58677126,10.23147939,7.0
B33,0,24,394.96165420336695,0.0,13.58677126,10.276111,7.0
B34,0,1,395.6335822074742,0.0,8.916325289,0.0,-0.0
B34,0,2,396.0353463348565,0.0,6.409933852,0.0,-0.0
B34,0,3,395.70394090445313,0.0,7.948402099,0.0,-0.0
B34,0,4,396.06337377822854,0.0,6.303801196000001,0.0,-0.0
B34,0,5,394.9915041410288,0.0,11.23760391,0.0,-0.0
B34,0,6,392.51920654078526,0.0,22.74981023,0.0,-0.0
B34,0,7,389.8260593498276,0.0,25.70423106,0.0,-0.0
B34,0,8,390.6096135653299,0.0,28.96990175,0.0,-0.0
B34,0,9,389.5559762232506,0.0,35.2100091,0.0,-0.0
B34,0,10,392.32677232738445,0.0,40.16286853,0.0,-0.0
B34,0,11,394.6794846344632,0.0,49.34353976,0.0,-0.0
B34,0,12,394.6987068583186,0.0,58.27187136,0.0,-0.0
B34,0,13,396.6789454777083,0.0,50.9944929,0.0,-0.0
B34,0,14,395.8628014457223,0.0,47.69258661,0.0,-0.0
B34,0,15,394.2377632308458,0.0,44.39068032,0.0,-0.0
B34,0,16,390.75181362638386,0.0,44.43787365999999,0.0,-0.0
B34,0,17,386.0431536132946,0.0,50.14730501,0.0,-0.0
B34,0,18,385.8536287895164,0.0,50.9429729,0.0,-0.0
B34,0,19,386.50214716919857,0.0,47.65186781,0.0,-0.0
B34,0,20,387.827217267595,0.0,44.349961519999994,0.0,-0.0
B34,0,21,388.47195939429446,0.0,41.04805523,0.0,-0.0
B34,0,22,389.1172913960455,0.0,37.74614894,0.0,-0.0
B34,0,23,392.92110904108097,0.0,20.525878509999995,0.0,-0.0
B34,0,24,394.4567313639572,0.0,13.41477655,0.0,-0.0
B35,0,1,399.6224029490107,0.0,6.731321006,-1.618106011,-0.0
B35,0,2,399.9258902451267,0.0,1.322641325,-0.317942626,-0.0
B35,0,3,399.9280445440688,0.0,1.280145263,-0.301572682,-0.0
B35,0,4,399.92781707749725,0.0,1.280145263,-0.295418138,-0.0
B35,0,5,399.92895440903357,0.0,1.280145263,-0.32619086,-0.0
B35,0,6,399.9267122299087,0.0,1.280145263,-0.265524636,-0.0
B35,0,7,399.9244721554649,0.0,1.280145263,-0.204917026,-0.0
B35,0,8,400.43972751597136,8.0805,1.280145263,0.027862811,-0.0
B35,0,9,400.78618070761047,19.4045,6.282212346,1.715030373,-0.0
B35,0,10,400.81203640210504,40.328,23.65589544,7.216733001,-0.0
B35,0,11,401.28718783057815,63.8915,36.97130142,12.2137335,-0.0
B35,0,12,402.0445315554322,75.4585,36.97130142,11.79939995,-0.0
B35,0,13,401.3925378489702,65.406,36.97130142,11.9974605,-0.0
B35,0,14,400.7647813067423,55.7835,36.97130142,12.22132203,-0.0
B35,0,15,399.9131131137824,42.3815,36.97130142,11.81761242,-0.0
B35,0,16,398.63836082624505,23.1535,36.97130142,12.44602673,-0.0
B35,0,17,397.5385003686635,5.5925,36.97130142,11.071245809999999,-0.0
B35,0,18,397.2324060135785,0.0,36.97130142,9.407875807,-0.0
B35,0,19,398.19187659650595,0.0,24.83026036,5.080401956,-0.0
B35,0,20,399.19480289584334,0.0,11.83740538,0.9494585570000001,-0.0
B35,0,21,399.27030229040713,0.0,11.76472176,-0.96153976,-0.0
B35,0,22,399.3518598514295,0.0,11.76472176,-3.1663967059999996,-0.0
B35,0,23,399.35836083567807,0.0,11.76472176,-3.342250501,-0.0
B35,0,24,399.35753715558053,0.0,11.76472176,-3.319968831,-0.0
