storage,t,state_kWh,p_charge_kW,p_discharge_kW
B22, 02/25  01:00:00,25.0,0.0,9.999998315463495
B22, 02/25  02:00:00,23.947881707084257,4.315492972803503e-06,0.9995162730023673
B22, 02/25  03:00:00,22.896232625597587,3.1218125411716576e-06,0.9990694771368677
B22, 02/25  04:00:00,21.844221278745948,3.0198775422794744e-06,0.9994135076686445
B22, 02/25  05:00:00,20.79113714654589,3.5471776628781485e-06,1.0004331296756335
B22, 02/25  06:00:00,19.737543872616865,2.9962466200963635e-06,1.0009163171144042
B22, 02/25  07:00:00,10.678729702931545,3.345224504443129e-06,8.605876483015344
B22, 02/25  08:00:00,10.000001229934922,1.6762777284408532e-06,0.6447935649373168
B22, 02/25  09:00:00,10.00001136305053,1.5467563291986602e-05,4.335765921893135e-06
B22, 02/25  10:00:00,19.500009650718177,9.999999129095768,8.434752875947406e-07
B22, 02/25  11:00:00,29.0000095840532,10.0,6.029454540719211e-08
B22, 02/25  12:00:00,38.50000954613445,10.000000010774913,4.834363465482425e-08
B22, 02/25  13:00:00,48.00000949858401,10.0,5.3003280582853064e-08
B22, 02/25  14:00:00,57.500009407750504,9.999999980956563,7.175485777366839e-08
B22, 02/25  15:00:00,67.00000895239477,9.999999795427179,2.507564006146784e-07
B22, 02/25  16:00:00,76.49995800570228,9.999962199884393,1.4287388546207889e-05
B22, 02/25  17:00:00,69.87628843688394,4.300707898406171e-06,6.292489974687926
B22, 02/25  18:00:00,61.66291550663226,4.894890019289228e-06,7.802708704011822
B22, 02/25  19:00:00,53.45728877515865,4.783919470821004e-06,7.795349714993343
B22, 02/25  20:00:00,47.78323950088843,3.121855130613991e-06,5.39034963088345
B22, 02/25  21:00:00,42.11147412998083,3.360543580697666e-06,5.388180138034627
B22, 02/25  22:00:00,36.4400775684258,3.1078009582630728e-06,5.387829540988419
B22, 02/25  23:00:00,30.7703938502503,4.7923297275128494e-06,5.38620383605589
B22, 02/25  24:00:00,25.0,3.976905636179425e-06,5.481877746895122
B24, 02/25  01:00:00,25.0,0.0,9.999996044779408
B24, 02/25  02:00:00,23.703216527450508,2.61688049494327e-06,1.2319466606566687
B24, 02/25  03:00:00,22.406822757452222,2.3045901199787696e-06,1.2315761936421463
B24, 02/25  04:00:00,21.11091962797528,2.2874844167898327e-06,1.2311100401698558
B24, 02/25  05:00:00,19.8156457554076,2.2417596693024543e-06,1.2305122048946209
B24, 02/25  06:00:00,18.52192411839636,2.0974920730267673e-06,1.2290374508670439
B24, 02/25  07:00:00,10.070422270109036,2.9764315894860403e-06,8.0289294448521
B24, 02/25  08:00:00,10.000000886097869,1.7440143851852636e-06,0.06690189153347209
B24, 02/25  09:00:00,10.000016268477259,1.881669461307606e-05,2.371556346786765e-06
B24, 02/25  10:00:00,19.50001472722809,9.999999240238907,7.812255478594939e-07
B24, 02/25  11:00:00,29.000014478072856,9.999999905660681,1.5437766019778372e-07
B24, 02/25  12:00:00,38.50001433411716,9.999999958218037,1.019657729954662e-07
B24, 02/25  13:00:00,48.00001416528801,9.999999945472167,1.1429286882644324e-07
B24, 02/25  14:00:00,57.50001386796186,9.99999988662279,1.841676016582609e-07
B24, 02/25  15:00:00,67.00001312241864,9.999999673616333,4.1597693688304265e-07
B24, 02/25  16:00:00,76.49999586649429,9.999987404508385,5.028767811621404e-06
B24, 02/25  17:00:00,70.44788652395552,2.4236828498332133e-06,5.749506065789006
B24, 02/25  18:00:00,62.35000188980018,4.336949218343012e-06,7.692994319220526
B24, 02/25  19:00:00,54.25406895852652,4.31311369841817e-06,7.69114018013434
B24, 02/25  20:00:00,48.407656456828036,2.3988849250690254e-06,5.5540940439854145
B24, 02/25  21:00:00,42.557604302903194,2.316929360240569e-06,5.557551640030483
B24, 02/25  22:00:00,36.70611768064488,2.6003099660411064e-06,5.558914640682802
B24, 02/25  23:00:00,30.852695595696037,2.6672432053111554e-06,5.560753366591063
B24, 02/25  24:00:00,25.0,2.3454467617461307e-06,5.560062932676938
