i,j,type,length_km,z,R_pu,cost_line
B9,B13,2 Al,0.08000000000000007,-0.0,0.64,35000
B9,B13,4/0 Al,0.08000000000000007,1.0,0.44999999999999996,42000
B9,B18,2 Al,0.08246211251235329,-0.0,0.64,35000
B9,B18,4/0 Al,0.08246211251235329,1.0,0.44999999999999996,42000
B9,B17,2 Al,0.10000000000000009,-0.0,0.64,35000
B9,B17,4/0 Al,0.10000000000000009,1.0,0.44999999999999996,42000
B10,B14,2 Al,0.07280109889280525,-0.0,0.64,35000
B10,B14,4/0 Al,0.07280109889280525,1.0,0.44999999999999996,42000
B10,B15,2 Al,0.08062257748298557,-0.0,0.64,35000
B10,B15,4/0 Al,0.08062257748298557,-0.0,0.44999999999999996,42000
B10,B13,2 Al,0.12083045973594582,-0.0,0.64,35000
B10,B13,4/0 Al,0.12083045973594582,0.0,0.44999999999999996,42000
B13,B17,2 Al,0.06000000000000005,-0.0,0.64,35000
B13,B17,4/0 Al,0.06000000000000005,-0.0,0.44999999999999996,42000
B13,B14,2 Al,0.08062257748298571,-0.0,0.64,35000
B13,B14,4/0 Al,0.08062257748298571,1.0,0.44999999999999996,42000
B14,B15,2 Al,0.12806248474865708,-0.0,0.64,35000
B14,B15,4/0 Al,0.12806248474865708,0.0,0.44999999999999996,42000
B15,B17,2 Al,0.12369316876852987,-0.0,0.64,35000
B15,B17,4/0 Al,0.12369316876852987,-0.0,0.44999999999999996,42000
B15,B13,2 Al,0.12369316876852976,0.0,0.64,35000
B15,B13,4/0 Al,0.12369316876852976,1.0,0.44999999999999996,42000
B18,B19,2 Al,0.09219544457292875,-0.0,0.64,35000
B18,B19,4/0 Al,0.09219544457292875,0.0,0.44999999999999996,42000
B18,B13,2 Al,0.12806248474865708,-0.0,0.64,35000
B18,B13,4/0 Al,0.12806248474865708,0.0,0.44999999999999996,42000
B19,B14,2 Al,0.15620499351813286,-0.0,0.64,35000
B19,B14,4/0 Al,0.15620499351813286,1.0,0.44999999999999996,42000
B19,B9,2 Al,0.16999999999999993,-0.0,0.64,35000
B19,B9,4/0 Al,0.16999999999999993,0.0,0.44999999999999996,42000
